GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GBIF Common :: API,org.gbif.api.vocabulary.collections,InstitutionGovernance,114,0,0,0,12,0,1,0,1,0
GBIF Common :: API,org.gbif.api.vocabulary.collections,Source,34,0,0,0,4,0,1,0,1,0
GBIF Common :: API,org.gbif.api.vocabulary.collections,IdType,84,0,0,0,9,0,1,0,1,0
GBIF Common :: API,org.gbif.api.vocabulary.collections,CollectionContentType,763,0,0,0,73,0,3,0,3,0
GBIF Common :: API,org.gbif.api.model.registry.eml.temporal,SingleDate,86,7,8,0,18,3,10,2,6,2
GBIF Common :: API,org.gbif.api.model.registry.eml.temporal,VerbatimTimePeriod,105,7,10,0,18,3,13,2,8,2
GBIF Common :: API,org.gbif.api.model.registry.eml.temporal,TemporalCoverage,0,3,0,0,0,1,0,1,0,1
GBIF Common :: API,org.gbif.api.model.registry.eml.temporal,VerbatimTimePeriodType,24,0,0,0,2,0,1,0,1,0
GBIF Common :: API,org.gbif.api.model.registry.eml.temporal,DateRange,154,7,16,0,32,3,17,2,9,2
GBIF Common :: API,org.gbif.api.v2,NameUsageMatch2,146,0,18,0,31,0,24,0,15,0
GBIF Common :: API,org.gbif.api.v2,NameUsageMatch2.Nomenclature,64,0,10,0,13,0,12,0,7,0
GBIF Common :: API,org.gbif.api.v2,RankedName,113,0,12,0,30,0,17,0,11,0
GBIF Common :: API,org.gbif.api.v2,NameUsageMatch2.Diagnostics,144,0,18,0,30,0,24,0,15,0
GBIF Common :: API,org.gbif.api.model.crawler,DatasetProcessStatus,278,717,43,43,28,134,44,53,1,53
GBIF Common :: API,org.gbif.api.model.crawler,DwcaValidationReport,205,110,32,12,33,28,24,10,7,5
GBIF Common :: API,org.gbif.api.model.crawler,CrawlJob,97,126,9,11,17,23,12,9,3,8
GBIF Common :: API,org.gbif.api.model.crawler,DatasetProcessStatus.Builder,15,113,0,0,6,44,3,23,3,23
GBIF Common :: API,org.gbif.api.model.crawler,GenericValidationReport,184,48,18,4,24,15,17,5,8,3
GBIF Common :: API,org.gbif.api.model.crawler,OccurrenceValidationReport,218,203,21,29,25,33,20,18,9,4
GBIF Common :: API,org.gbif.api.model.crawler,ProcessState,0,34,0,0,0,4,0,1,0,1
GBIF Common :: API,org.gbif.api.model.crawler,FinishReason,0,54,0,0,0,6,0,1,0,1
GBIF Common :: API,org.gbif.api.model.checklistbank.search,NameUsageSearchResult,1389,0,100,0,240,0,148,0,98,0
GBIF Common :: API,org.gbif.api.model.checklistbank.search,NameUsageSuggestRequest,3,0,0,0,1,0,1,0,1,0
GBIF Common :: API,org.gbif.api.model.checklistbank.search,NameUsageSearchParameter,0,147,0,0,0,17,0,3,0,3
GBIF Common :: API,org.gbif.api.model.checklistbank.search,NameUsageSearchRequest,99,0,0,0,34,0,17,0,17,0
GBIF Common :: API,org.gbif.api.model.checklistbank.search,NameUsageSearchRequest.NameUsageQueryField,34,0,0,0,4,0,1,0,1,0
GBIF Common :: API,org.gbif.api.model.checklistbank.search,NameUsageSuggestResult,793,0,60,0,137,0,88,0,58,0
GBIF Common :: API,org.gbif.api.model,Constants,7,25,0,0,2,8,1,1,1,1
GBIF Common :: API,org.gbif.api.model,ChallengeCode,88,0,0,0,21,0,10,0,10,0
GBIF Common :: API,org.gbif.api.model.checklistbank,TableOfContents,153,0,16,0,27,0,17,0,9,0
GBIF Common :: API,org.gbif.api.model.checklistbank,NameUsageContainer,212,436,23,65,38,93,36,41,17,16
GBIF Common :: API,org.gbif.api.model.checklistbank,NameUsage,679,1048,52,60,108,207,82,85,31,80
GBIF Common :: API,org.gbif.api.model.checklistbank,VernacularName,246,87,13,13,42,16,34,5,21,5
GBIF Common :: API,org.gbif.api.model.checklistbank,NameUsageMatch,813,0,62,0,141,0,90,0,59,0
GBIF Common :: API,org.gbif.api.model.checklistbank,SpeciesProfile,278,134,15,15,42,35,33,14,18,14
GBIF Common :: API,org.gbif.api.model.checklistbank,NameUsageMediaObject,10,7,0,0,4,3,3,2,3,2
GBIF Common :: API,org.gbif.api.model.checklistbank,VerbatimNameUsage,88,201,7,21,11,39,10,23,3,16
GBIF Common :: API,org.gbif.api.model.checklistbank,TypeSpecimen,302,136,21,21,63,25,58,5,37,5
GBIF Common :: API,org.gbif.api.model.checklistbank,NameUsageMetrics,403,0,42,0,72,0,48,0,27,0
GBIF Common :: API,org.gbif.api.model.checklistbank,Distribution,345,112,17,17,59,19,45,6,28,6
GBIF Common :: API,org.gbif.api.model.checklistbank,Reference,272,87,13,13,46,18,35,4,22,4
GBIF Common :: API,org.gbif.api.model.checklistbank,ParsedName,486,866,118,156,103,181,92,113,12,56
GBIF Common :: API,org.gbif.api.model.checklistbank,NameUsageMatch.MatchType,54,0,0,0,6,0,1,0,1,0
GBIF Common :: API,org.gbif.api.model.checklistbank,Description,249,86,13,13,41,17,33,4,20,4
GBIF Common :: API,org.gbif.api.model.checklistbank,DatasetMetrics,508,169,26,22,93,26,71,3,47,3
GBIF Common :: API,org.gbif.api.model.common,GbifUserPrincipal,10,22,1,1,4,7,3,2,2,2
GBIF Common :: API,org.gbif.api.model.common,DoiStatus,46,67,12,0,6,9,9,2,3,2
GBIF Common :: API,org.gbif.api.model.common,GbifUser,135,128,6,6,17,29,8,9,2,9
GBIF Common :: API,org.gbif.api.model.common,Identifier,76,61,5,7,9,15,8,9,3,8
GBIF Common :: API,org.gbif.api.model.common,AppPrincipal,30,0,4,0,8,0,6,0,4,0
GBIF Common :: API,org.gbif.api.model.common,DOI.DoiSerializer,0,8,0,0,0,3,0,2,0,2
GBIF Common :: API,org.gbif.api.model.common,User,121,224,13,17,16,46,16,25,3,23
GBIF Common :: API,org.gbif.api.model.common,InterpretedEnum,8,0,0,0,4,0,2,0,2,0
GBIF Common :: API,org.gbif.api.model.common,DoiData,65,59,5,5,14,12,8,5,3,5
GBIF Common :: API,org.gbif.api.model.common,AbstractGbifUser,122,231,14,18,14,44,16,24,2,22
GBIF Common :: API,org.gbif.api.model.common,InterpretedField,109,0,10,0,24,0,14,0,9,0
GBIF Common :: API,org.gbif.api.model.common,DOI.DoiDeserializer,2,14,2,2,1,3,2,2,0,2
GBIF Common :: API,org.gbif.api.model.common,MediaObject,274,181,16,18,30,50,23,26,7,25
GBIF Common :: API,org.gbif.api.model.common,UserPrincipal,31,0,2,0,11,0,5,0,4,0
GBIF Common :: API,org.gbif.api.model.common,DOI,48,182,5,11,16,33,10,14,5,11
GBIF Common :: API,org.gbif.api.model.collections.duplicates,DuplicatesResult,22,0,0,0,8,0,5,0,5,0
GBIF Common :: API,org.gbif.api.model.collections.duplicates,Duplicate,224,0,28,0,50,0,39,0,25,0
GBIF Common :: API,org.gbif.api.model.collections.duplicates,DuplicatesRequest,268,0,20,0,58,0,36,0,26,0
GBIF Common :: API,org.gbif.api.model.pipelines,PipelineStep,484,73,57,11,77,23,57,11,26,8
GBIF Common :: API,org.gbif.api.model.pipelines,PipelineProcess,230,170,34,26,42,39,40,13,15,8
GBIF Common :: API,org.gbif.api.model.pipelines,PipelineExecution,243,63,22,8,38,17,26,10,14,7
GBIF Common :: API,org.gbif.api.model.pipelines,WorkflowStep,79,0,8,0,21,0,15,0,11,0
GBIF Common :: API,org.gbif.api.model.pipelines,StepType,273,0,0,0,28,0,4,0,4,0
GBIF Common :: API,org.gbif.api.model.pipelines,PipelineStep.Status,0,34,0,0,0,4,0,1,0,1
GBIF Common :: API,org.gbif.api.model.pipelines,IngestionProcess,43,0,0,0,16,0,11,0,11,0
GBIF Common :: API,org.gbif.api.model.pipelines,RunPipelineResponse.ResponseStatus,44,0,0,0,5,0,1,0,1,0
GBIF Common :: API,org.gbif.api.model.pipelines,PipelineStep.MetricInfo,113,0,10,0,23,0,14,0,9,0
GBIF Common :: API,org.gbif.api.model.pipelines,RunPipelineResponse.Builder,65,0,4,0,18,0,10,0,8,0
GBIF Common :: API,org.gbif.api.model.pipelines,StepRunner,34,0,0,0,4,0,1,0,1,0
GBIF Common :: API,org.gbif.api.model.pipelines,RunPipelineResponse,114,0,14,0,25,0,17,0,10,0
GBIF Common :: API,org.gbif.api.model.collections.suggestions,BaseChangeSuggestion,377,0,44,0,82,0,63,0,41,0
GBIF Common :: API,org.gbif.api.model.collections.suggestions,Status,34,0,0,0,4,0,1,0,1,0
GBIF Common :: API,org.gbif.api.model.collections.suggestions,InstitutionChangeSuggestion,76,0,12,0,18,0,13,0,7,0
GBIF Common :: API,org.gbif.api.model.collections.suggestions,CollectionChangeSuggestion,3,0,0,0,1,0,1,0,1,0
GBIF Common :: API,org.gbif.api.model.collections.suggestions,Change,154,0,20,0,34,0,27,0,17,0
GBIF Common :: API,org.gbif.api.model.collections.suggestions,Type,54,0,0,0,6,0,1,0,1,0
GBIF Common :: API,org.gbif.api.model.collections.suggestions,ApplySuggestionResult,10,0,0,0,4,0,3,0,3,0
GBIF Common :: API,org.gbif.api.model.common.messaging,Response.Status,24,0,0,0,2,0,1,0,1,0
GBIF Common :: API,org.gbif.api.model.common.messaging,ResponseChain,51,0,0,0,17,0,7,0,7,0
GBIF Common :: API,org.gbif.api.model.common.messaging,Request,24,0,0,0,10,0,7,0,7,0
GBIF Common :: API,org.gbif.api.model.common.messaging,Request.Builder,61,0,0,0,17,0,7,0,7,0
GBIF Common :: API,org.gbif.api.model.common.messaging,Response.StatusCode,247,0,4,0,30,0,9,0,7,0
GBIF Common :: API,org.gbif.api.model.common.messaging,Response.Builder,86,0,0,0,25,0,9,0,9,0
GBIF Common :: API,org.gbif.api.model.common.messaging,Request.OperationType,54,0,0,0,2,0,1,0,1,0
GBIF Common :: API,org.gbif.api.model.common.messaging,Response,203,0,2,0,55,0,21,0,20,0
